iter	Logloss
0	0.6544617115
1	0.6157769591
2	0.5847735433
3	0.5511583069
4	0.5248297454
5	0.5002389483
6	0.4773575051
7	0.4577697361
8	0.4411673003
9	0.426788967
10	0.4164438449
11	0.4027990126
12	0.3927101756
13	0.381697859
14	0.3731207727
15	0.363838823
16	0.3553352365
17	0.3456187095
18	0.3397423516
19	0.3333964704
20	0.3262860002
21	0.3214724516
22	0.3155203472
23	0.3103314705
24	0.307367241
25	0.3007957318
26	0.2978562367
27	0.2929614502
28	0.2889597812
29	0.2866954455
30	0.2842640955
31	0.2814452319
32	0.2784731962
33	0.2765294778
34	0.2735388346
35	0.2723147749
36	0.2707054253
37	0.2687349075
38	0.2674209869
39	0.2660134158
40	0.2651657961
41	0.2614986546
42	0.2594599015
43	0.2582932983
44	0.2560765254
45	0.2548484491
46	0.2537379409
47	0.2520461054
48	0.2503727639
49	0.2480540578
50	0.2457122738
51	0.2445838388
52	0.2428294636
53	0.2419489176
54	0.2407643196
55	0.2399398232
56	0.2380227907
57	0.2363060165
58	0.2358257145
59	0.2350444693
60	0.2344627562
61	0.2329535243
62	0.2313459674
63	0.2295193404
64	0.228022385
65	0.2277867044
66	0.2267540983
67	0.2263635438
68	0.2259655916
69	0.2245867715
70	0.2233561765
71	0.2226728933
72	0.2210504049
73	0.2198799894
74	0.2184957912
75	0.2184065203
76	0.2175575845
77	0.2170907617
78	0.216396382
79	0.2157857364
80	0.214804528
81	0.2138135167
82	0.2131325708
83	0.2121314387
84	0.2106917129
85	0.2093210619
86	0.2087206731
87	0.2083848521
88	0.2078710792
89	0.207011773
90	0.2065557517
91	0.2061364009
92	0.205797176
93	0.2053161706
94	0.2049222122
95	0.2031236555
96	0.2022370507
97	0.2012447005
98	0.2003199956
99	0.2000344376
100	0.1995322604
101	0.1983905732
102	0.1976940151
103	0.1967506799
104	0.195974359
105	0.1956170938
106	0.1951981061
107	0.1942921449
108	0.1933732491
109	0.1928511029
110	0.1921967295
111	0.1917016095
112	0.1912820318
113	0.1902323385
114	0.1898785339
115	0.1893146909
116	0.1882212018
117	0.1879056675
118	0.1869224622
119	0.186660175
120	0.1861056017
121	0.1856632183
122	0.1848228147
123	0.1840422503
124	0.1837923531
125	0.1835775038
126	0.1830079083
127	0.1821230848
128	0.1819262191
129	0.1811683695
130	0.1806435683
131	0.1805146542
132	0.1799184635
133	0.1789229591
134	0.1784841497
135	0.1783144805
136	0.1781253302
137	0.1771864086
138	0.1766036516
139	0.1764605209
140	0.1760203727
141	0.1756004886
142	0.1752595845
143	0.1745610295
144	0.1741647906
145	0.1734721469
146	0.1732519877
147	0.1728737551
148	0.1715158344
149	0.1707949617
150	0.1700732153
151	0.1692028921
152	0.1688007759
153	0.1683321945
154	0.1675615465
155	0.1674275154
156	0.1670268969
157	0.1659902289
158	0.1658817945
159	0.1650838479
160	0.1643905235
161	0.1635492576
162	0.1630875405
163	0.1630321943
164	0.1628037298
165	0.1618729434
166	0.1617126234
167	0.1611649144
168	0.1610436136
169	0.1609440178
170	0.1607664971
171	0.1602691307
172	0.1600558812
173	0.1590662768
174	0.1587047115
175	0.1585925782
176	0.1584452495
177	0.157919654
178	0.1574309106
179	0.1573633788
180	0.1563685551
181	0.1561842268
182	0.1556798939
183	0.1547878089
184	0.1542195409
185	0.1541396645
186	0.1533790238
187	0.1532813795
188	0.1522901753
189	0.1515976904
190	0.1511652008
191	0.1508775779
192	0.1504493317
193	0.1499175186
194	0.1491265271
195	0.1487332382
196	0.1481925752
197	0.1474763089
198	0.1469856707
199	0.1468280057
