,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std
Logistic Regression,0.756572541382668,0.04688794535733054,0.420254676080763,0.07440607101207874,0.7333333333333334,0.13333333333333336,0.5334323613912831,0.09344577739996182,0.8110416666666665,0.037341098522792424,0.4690824325480043,0.06585968375333465
Random Forest,0.8097695553391755,0.032464199135458234,0.5040404040404041,0.06672124295071676,0.64,0.07999999999999999,0.5620495495495496,0.0656719836083293,0.8162119708994708,0.047328988320999195,0.48878046921318674,0.059584312499124346
XGBoost,0.7742940603700098,0.036262815845751424,0.44105213626952755,0.06435020161013631,0.7066666666666667,0.13727506854649335,0.5411479495690021,0.08360685653996457,0.8103306878306877,0.055069006087216536,0.494696111351346,0.0684468951334092
LightGBM,0.7843232716650437,0.03165081223894418,0.4626373626373626,0.04782429702634933,0.6799999999999999,0.08844332774281068,0.5456193222427463,0.03855810558335761,0.8143998015873015,0.03482168859849552,0.499168656723261,0.09581801100537438
CatBoost,0.7310938007140539,0.035355784137997344,0.4030842911877395,0.04018307804304557,0.8400000000000001,0.06798692684790382,0.5440884438881936,0.047912399560698544,0.8171213624338625,0.03783789564734359,0.47652129577684166,0.05884625536403006
